Ref,Val,Package,PosX,PosY,Rot,Side
"D7","1N4148W","D_SOD-123",69.665293,-62.207204,90.000000,top
"D8","1N4148W","D_SOD-123",69.677993,-81.219104,90.000000,top
"D9","1N4148W","D_SOD-123",69.779593,-100.269104,90.000000,top
"D10","1N4148W","D_SOD-123",84.168693,-54.168104,180.000000,top
"D16","1N4148W","D_SOD-123",88.677193,-68.709604,90.000000,top
"D17","1N4148W","D_SOD-123",88.613693,-87.721504,90.000000,top
"D18","1N4148W","D_SOD-123",98.976893,-49.100804,0.000000,top
"D19","1N4148W","D_SOD-123",99.281693,-68.201604,0.000000,top
"D20","1N4148W","D_SOD-123",107.752593,-82.717704,90.000000,top
"D26","1N4148W","D_SOD-123",126.726393,-111.711804,90.000000,top
"D27","1N4148W","D_SOD-123",126.726393,-50.510504,90.000000,top
"D28","1N4148W","D_SOD-123",126.802593,-68.798504,90.000000,top
"D29","1N4148W","D_SOD-123",126.739093,-87.746904,90.000000,top
"D30","1N4148W","D_SOD-123",146.284393,-114.404204,80.000000,top
"D31","1N4148W","D_SOD-123",137.102293,-56.733504,0.000000,top
"D32","1N4148W","D_SOD-123",137.127693,-75.694604,0.000000,top
"D33","1N4148W","D_SOD-123",137.407093,-94.693804,0.000000,top
"D36","1N4148W","D_SOD-123",156.698393,-122.189304,340.000000,top
"D37","1N4148W","D_SOD-123",72.192593,-112.908404,90.000000,top
"D80","1N4148W","D_SOD-123",45.230493,-73.700704,180.000000,top
"D84","1N4148W","D_SOD-123",45.192393,-92.572904,180.000000,top
"D85","1N4148W","D_SOD-123",45.192393,-111.673704,180.000000,top
"R4","10k","R_0805_2012Metric",150.043593,-86.540404,0.000000,top
"SW41","SW_Push","SKQG-1155865",150.043593,-92.509404,270.000000,top
